alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
racos,6,2000.0,83.8,156543,3825663,4694015,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,2000.0,92.0,483839,890367,1201151,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,34.6,708095,2709503,2791423,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,4,2000.0,35.5,1436671,1953791,2256895,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,32.5,1349631,2830335,3278847,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
racos,6,2000.0,90.9,242559,1787903,2271231,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,2000.0,87.4,230783,1988607,3536895,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,2000.0,85.9,434687,1064959,1904639,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,2000.0,94.7,475647,828927,986623,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,35.3,546303,2764799,2840575,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,31.5,1165311,2961407,3051519,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,4,2000.0,34.4,1424383,1751039,1880063,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,2000.0,34.5,1358847,2117631,2308095,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,32.3,1391615,2535423,3026943,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,31.2,1407999,2652159,3055615,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
