alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
paxos42,7,666.7,762.3,59551,102975,178687,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,666.7,826.2,53535,110335,141311,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,666.7,803.9,50399,134655,174847,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,4,666.7,806.6,53023,119423,151679,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,666.7,785.0,54463,132095,175231,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
racos34,8,666.7,1436.7,29199,50367,82431,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos34,8,666.7,1126.0,42207,60671,78783,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos34,8,666.7,781.9,60287,97023,136575,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos52,8,666.7,1663.0,26991,43615,62975,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos52,8,666.7,1362.9,33727,49887,73599,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos52,8,666.7,794.1,57983,94911,130687,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos42,7,666.7,1522.6,27935,49535,80767,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos42,7,666.7,1385.9,33503,49791,72959,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos,6,666.7,1558.6,28351,47263,72959,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,666.7,1314.7,33951,58527,78015,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,773.2,60319,93503,154111,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
