alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
racos,6,1,16.3,50015,57183,60191,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,3,42.6,57023,74111,83071,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,5,64.0,62655,85503,109567,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,10,101.7,79679,120191,168447,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,20,125.8,124671,278527,344319,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,30,125.8,140031,664063,970751,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,40,126.3,156927,1075199,1393663,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,50,140.1,254335,788479,1111039,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1,13.4,45535,101951,106815,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,3,31.5,86271,137983,155519,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,5,42.8,99647,178687,195711,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,10,48.9,142591,348927,373759,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,20,48.4,356863,742399,773119,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,30,50.2,303871,1106943,1142783,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,40,50.0,188415,1628159,1679359,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,50,50.5,880127,1850367,1908735,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,1,12.2,90879,108543,115263,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,3,29.8,95999,146943,282623,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,5,37.2,111935,279551,352511,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,10,48.7,182655,319743,396287,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,20,50.5,344575,752639,1004031,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,30,49.4,510463,1170431,1303551,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,40,52.6,711679,1174527,1457151,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,50,50.0,906239,1835007,2277375,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,1,12.3,42495,118847,124927,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,3,26.5,105599,156415,181119,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,5,34.6,130943,188927,214527,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,10,34.9,271871,413695,470527,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,20,43.1,461823,665087,758783,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,30,34.8,615935,1619967,1693695,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,40,35.1,671231,2158591,2633727,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,50,34.5,859135,2902015,3031039,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
