alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
rabia,4,1,64.0,15343,18863,25775,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,3,170.7,15751,27103,34719,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,5,268.8,15735,32383,45599,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,10,439.0,16767,49471,64671,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1,54.6,17055,30863,47743,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,3,157.5,16783,35327,45183,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,5,237.2,17039,41279,50559,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,10,396.7,17567,54623,73151,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,20,497.7,28927,90239,121791,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,30,586.7,40127,115711,154751,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,40,727.0,48895,113791,131583,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,50,812.6,50591,120191,147839,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,40,807.6,42175,103167,127807,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,50,883.5,47487,102399,118527,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,20,655.9,22415,62079,80959,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,30,739.9,33599,82687,103103,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
